Ticker,Date/Time,Open,High,Low,Close,Volume,OpenInt,OpenInt
AALI,11/21/2022 09:00:00,8275.00,8275.00,8275.00,8275.00,5500,-7447500,-7447500
AALI,11/21/2022 09:05:00,8275.00,8275.00,8275.00,8275.00,400,-3310000,-3310000
AALI,11/21/2022 09:10:00,8275.00,8300.00,8275.00,8300.00,13400,-81090000,-81090000
AALI,11/21/2022 09:15:00,8300.00,8325.00,8300.00,8300.00,20500,107077504,107077504
AALI,11/21/2022 09:20:00,8300.00,8325.00,8300.00,8300.00,7400,-9915000,-9915000
AALI,11/21/2022 09:25:00,8300.00,8300.00,8300.00,8300.00,1800,-14940000,-14940000
AALI,11/21/2022 09:30:00,8300.00,8300.00,8275.00,8275.00,13800,-107882496,-107882496
AALI,11/21/2022 09:35:00,8300.00,8300.00,8275.00,8300.00,800,4982500,4982500
AALI,11/21/2022 09:40:00,8300.00,8300.00,8275.00,8275.00,3900,9165000,9165000
AALI,11/21/2022 09:45:00,8275.00,8275.00,8275.00,8275.00,1200,-9930000,-9930000
AALI,11/21/2022 09:50:00,8275.00,8300.00,8275.00,8275.00,5300,-20652500,-20652500
AALI,11/21/2022 09:55:00,8275.00,8275.00,8275.00,8275.00,10400,-86060000,-86060000
AALI,11/21/2022 10:00:00,8275.00,8275.00,8275.00,8275.00,5300,-43857500,-43857500
AALI,11/21/2022 10:05:00,8275.00,8275.00,8275.00,8275.00,100,-827500,-827500
ABBA,11/21/2022 09:00:00,192.00,194.00,191.00,191.00,726500,-63934600,-63934600
ABBA,11/21/2022 09:05:00,190.00,191.00,189.00,190.00,832900,-36964700,-36964700
ABBA,11/21/2022 09:10:00,190.00,193.00,190.00,193.00,710100,44899700,44899700
ABBA,11/21/2022 09:15:00,193.00,202.00,192.00,199.00,9578900,920342016,920342016
ABBA,11/21/2022 09:20:00,200.00,200.00,196.00,197.00,5046600,-344638624,-344638624
ABBA,11/21/2022 09:25:00,197.00,200.00,197.00,199.00,2680400,-30836288,-30836288
ABBA,11/21/2022 09:30:00,199.00,199.00,198.00,198.00,951800,-22127200,-22127200
ABBA,11/21/2022 09:35:00,198.00,199.00,198.00,198.00,1180400,105030608,105030608
ABBA,11/21/2022 09:40:00,198.00,198.00,196.00,196.00,2882400,-500691776,-500691776
ABBA,11/21/2022 09:45:00,196.00,197.00,195.00,195.00,612600,-89134896,-89134896
ABBA,11/21/2022 09:50:00,196.00,197.00,195.00,195.00,179000,-6149300,-6149300
ABBA,11/21/2022 09:55:00,195.00,196.00,195.00,196.00,173700,-2005000,-2005000
ABBA,11/21/2022 10:00:00,196.00,197.00,196.00,196.00,357600,52945500,52945500
ABBA,11/21/2022 10:05:00,196.00,197.00,196.00,196.00,77100,4538400,4538400
ABDA,11/10/2022 09:25:00,6700.00,6700.00,6700.00,6700.00,8700,-58290000,-58290000
ABDA,11/10/2022 09:40:00,6700.00,6700.00,6700.00,6700.00,600,-4020000,-4020000
ABMM,11/21/2022 09:00:00,3200.00,3250.00,3200.00,3200.00,151400,-120981000,-120981000
ABMM,11/21/2022 09:05:00,3200.00,3230.00,3190.00,3200.00,35500,-62283000,-62283000
ABMM,11/21/2022 09:10:00,3200.00,3200.00,3190.00,3190.00,9200,-11519000,-11519000
ABMM,11/21/2022 09:15:00,3200.00,3230.00,3200.00,3230.00,101300,-142516992,-142516992
ABMM,11/21/2022 09:20:00,3230.00,3230.00,3210.00,3210.00,15300,-11891000,-11891000
ABMM,11/21/2022 09:25:00,3220.00,3220.00,3210.00,3210.00,7400,10968000,10968000
ABMM,11/21/2022 09:30:00,3210.00,3220.00,3210.00,3220.00,27400,-13371000,-13371000
ABMM,11/21/2022 09:35:00,3220.00,3230.00,3210.00,3230.00,32300,44339000,44339000
ABMM,11/21/2022 09:40:00,3230.00,3240.00,3200.00,3240.00,165200,-307189024,-307189024
ABMM,11/21/2022 09:45:00,3230.00,3240.00,3230.00,3230.00,8200,-24545000,-24545000
ABMM,11/21/2022 09:50:00,3230.00,3230.00,3220.00,3230.00,18500,12670000,12670000
ABMM,11/21/2022 09:55:00,3230.00,3240.00,3230.00,3230.00,24000,-19337000,-19337000
ABMM,11/21/2022 10:00:00,3230.00,3250.00,3200.00,3220.00,141900,-387987968,-387987968
ABMM,11/21/2022 10:05:00,3230.00,3250.00,3230.00,3240.00,37000,118180000,118180000
ACES,11/21/2022 09:00:00,570.00,580.00,570.00,575.00,2229500,229676000,229676000
ACES,11/21/2022 09:05:00,570.00,575.00,570.00,575.00,335800,34960500,34960500
ACES,11/21/2022 09:10:00,575.00,575.00,570.00,575.00,262100,75481000,75481000
ACES,11/21/2022 09:15:00,575.00,575.00,570.00,575.00,1206300,-124938000,-124938000
ACES,11/21/2022 09:20:00,570.00,575.00,570.00,575.00,810200,-292468512,-292468512
ACES,11/21/2022 09:25:00,570.00,575.00,565.00,570.00,3219000,-1719309440,-1719309440
ACES,11/21/2022 09:30:00,565.00,570.00,565.00,570.00,120100,5124000,5124000
ACES,11/21/2022 09:35:00,570.00,575.00,565.00,570.00,2716800,1317978496,1317978496
ACES,11/21/2022 09:40:00,570.00,575.00,565.00,570.00,3125800,145038000,145038000
ACES,11/21/2022 09:45:00,570.00,575.00,570.00,570.00,511600,-213980992,-213980992
ACES,11/21/2022 09:50:00,570.00,575.00,565.00,570.00,1475700,-803579456,-803579456
